zoning_code,district_family,residential_allowed_flag,commercial_allowed_flag,manufacturing_allowed_flag,contextual_flag,height_factor_flag,residential_equivalent_code,approx_resid_far,standard_resid_far_min,standard_resid_far_max,mih_resid_far,community_facility_far,commercial_far,manufacturing_far,source_url,source_note
R4,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.75,0.75,0.75,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R4-1,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.75,0.75,0.75,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R4A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.75,0.75,0.75,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R4B,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.90,0.90,0.90,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R5,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,1.25,1.25,1.25,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R5A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,1.10,1.10,1.10,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R5B,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,1.35,1.35,1.35,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R5D,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,2.00,2.00,2.00,,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R6,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,2.43,0.78,2.43,8.00,4.80,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R6A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,3.00,3.00,3.00,3.60,3.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R6B,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,2.00,2.00,2.00,2.20,2.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R6X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,3.00,3.00,3.00,3.60,3.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,Legacy/rare contextual code mapped to R6A-like first-pass FAR pending source-specific verification.
R7,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,3.44,0.87,3.44,10.00,4.80,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R7-1,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,3.44,0.87,3.44,10.00,4.80,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R7-2,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,3.44,0.87,3.44,10.00,4.80,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R7A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,4.00,4.00,4.00,4.60,4.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R7B,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,3.00,3.00,3.00,,3.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R7D,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,4.20,4.20,4.20,5.60,4.20,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R7X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,5.00,5.00,5.00,6.00,5.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R8,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,6.02,0.95,6.02,,6.50,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R8A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,6.02,6.02,6.02,7.20,6.50,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R8B,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,4.00,4.00,4.00,,4.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R8X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,6.02,6.02,6.02,7.20,6.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R9,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,7.52,0.99,7.52,,6.50,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; parser uses upper end of height-factor FAR range.
R9A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,7.52,7.52,7.52,8.50,7.50,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R9D,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,9.00,9.00,9.00,10.00,9.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R9X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,10.00,10.00,10.00,9.70,10.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R10,residential,TRUE,FALSE,FALSE,FALSE,TRUE,,10.00,7.52,10.00,12.00,10.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R10A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,10.00,10.00,10.00,12.00,10.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R10X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,12.00,12.00,12.00,,10.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table; verify R10X conditions before interpretation.
R10H,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,12.00,12.00,12.00,,10.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,Legacy/special high-density code retained for parser compatibility; verify source-specific rules before interpretation.
C1-1,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C1-2,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C1-3,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C1-4,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C1-5,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C2-1,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C2-2,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C2-3,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C2-4,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C2-5,commercial_overlay,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/commercial-districts,C1/C2 overlays require the underlying residence district to infer residential FAR; parser intentionally leaves FAR blank.
C1-6,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R7,3.44,0.87,3.44,,6.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C1-6A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7A,4.00,4.00,4.00,,4.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C1-7,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R8,6.02,0.94,6.02,,6.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C1-7A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R8A,6.02,6.02,6.02,,6.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C1-8,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R9,7.52,0.99,7.52,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C1-8A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9A,7.52,7.52,7.52,,7.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C1-8X,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9X,9.00,9.00,9.00,,9.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C1-9,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C1-9A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C2-6,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R7,3.44,0.87,3.44,,6.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C2-6A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7A,4.00,4.00,4.00,,4.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C2-7,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R9,7.52,0.99,7.52,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C2-7A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9A,7.52,7.52,7.52,,7.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C2-7X,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9X,9.00,9.00,9.00,,9.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C2-8,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C2-8A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C3,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R3-2,0.55,0.55,0.55,,1.00,0.50,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C3A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R3A,0.55,0.55,0.55,,1.00,0.50,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-1,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R5,1.25,1.25,1.25,,2.00,1.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-2,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R6,2.43,0.78,2.43,,4.80,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C4-2A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R6A,3.00,3.00,3.00,,3.00,3.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-2F,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R8,6.02,0.94,6.02,,6.50,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C4-3,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R6,2.43,0.78,2.43,,4.80,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C4-3A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R6A,3.00,3.00,3.00,,3.00,3.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-4,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R7,3.44,0.87,3.44,,6.50,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C4-4A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7A,4.00,4.00,4.00,,4.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-4D,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R8A,6.02,6.02,6.02,,6.50,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-4L,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7A,4.00,4.00,4.00,,4.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-5,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R7,3.44,0.87,3.44,,6.50,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C4-5A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7A,4.00,4.00,4.00,,4.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-5D,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7D,4.20,4.20,4.20,,4.20,4.20,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-5X,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R7X,5.00,5.00,5.00,,5.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-6,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-6A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,3.40,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-7,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C4-7A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-1,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-1A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,4.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-2,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-2A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-3,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,15.00,15.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-4,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C5-5,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,15.00,15.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-1,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R7,3.44,0.87,3.44,,6.50,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C6-1A,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R6,2.43,0.78,2.43,,6.00,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
