raw_application_number,canonical_application_number,include_in_corpus,resolved_pdf_url,correction_type,correction_reason,corpus_role,source_usable,canonical_vote_date,validation_coder,validation_date
C 851031C ZSQ,M 851031(C) ZSQ,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/851031c.pdf,post_approval_modification_exclusion,The printed report header is M 851031(C) ZSQ and the report concerns a post-approval modification rather than a distinct certified ULURP application.,excluded_post_approval_modification,1,,codex_gpt5_source_review,2026-07-11
C 860831 HDK,C 860301 HDK,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/860301.pdf,duplicate_index_row_exclusion,The raw 860831.pdf visibly contains C 860301 HDK and the 278 43rd Street report already indexed correctly as C 860301 HDK; no distinct C 860831 HDK report is present.,excluded_duplicate_index_row,0,,codex_gpt5_source_review,2026-07-11
C 900317 PQK,C 900317 PLK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/900317.pdf,action_code_correction,"The printed header, body, and resolution identify C 900317 PLK; the DCP index incorrectly says PQK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 900517 PQM,C 900517 PSM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/900517.pdf,action_code_correction,"The printed header, body, and resolution identify C 900517 PSM; the DCP index incorrectly says PQM.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 900551 PQK,C 900551 PLK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/900551.pdf,action_code_correction,"The printed header, body, and resolution identify C 900551 PLK; the DCP index incorrectly says PQK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 900565 PPX,C 900565 DMX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/900565.pdf,action_code_correction,"The printed header, body, resolution, and Council record identify C 900565 DMX; the DCP index incorrectly says PPX.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 900601 PQX,C 900601 PLX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/900601.pdf,action_code_correction,"The printed header, body, and resolution identify C 900601 PLX; the DCP index incorrectly says PQX.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 910005 PQQ,C 910005 PCQ,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/910005.pdf,action_code_correction,"The printed header, body, and resolution identify C 910005 PCQ; the DCP index incorrectly says PQQ.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 910523 PQM,C 910523 PCM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/910523.pdf,action_code_correction,"The printed header, body, and resolution identify C 910523 PCM; the DCP index incorrectly says PQM.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 930036 PQK,C 930036 PCK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/930036.pdf,action_code_correction,"The printed header, body, and resolution identify C 930036 PCK; the DCP index incorrectly says PQK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 930038 PQK,C 930038 PCK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/930038.pdf,action_code_correction,"The printed header, body, and resolution identify C 930038 PCK; the DCP index incorrectly says PQK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 930039 PQX,C 930039 PCX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/930039.pdf,action_code_correction,"The printed header, body, and resolution identify C 930039 PCX; the DCP index incorrectly says PQX.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 930320 PCK,C 930320 PQK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/930320.pdf,action_code_correction,"The printed header, body, and resolution identify C 930320 PQK; the DCP index incorrectly says PCK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 940206 PQK,C 940206 PCK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/940206.pdf,action_code_correction,"The printed header, body, and resolution identify C 940206 PCK; the DCP index incorrectly says PQK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 940207 PSK,C 940207 PCK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/940207.pdf,action_code_correction,"The printed header, body, and resolution identify C 940207 PCK; the DCP index incorrectly says PSK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 940219 PQM,C 940219 PCM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/940219.pdf,action_code_correction,"The printed header, body, and resolution identify C 940219 PCM; the DCP index incorrectly says PQM.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 940294 PCM,C 940294 PQM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/940294.pdf,action_code_correction,"The printed header, body, and resolution identify C 940294 PQM; the DCP index incorrectly says PCM.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 040137 ZRK,N 040137 ZRK,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/040137.pdf,non_ulurp_prefix_correction,"The printed report header is N 040137 ZRK and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 020271 PPX,C 020271 DMX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/020271.pdf,action_code_correction,"The printed header, body, resolution, and Council record identify C 020271 DMX; the DCP index incorrectly says PPX.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 060083 ZRY,N 060083 ZRY,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/060083.pdf,non_ulurp_prefix_correction,"The printed report header is N 060083 ZRY and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 060254 ZRY,N 060254 ZRY,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/060254.pdf,non_ulurp_prefix_correction,"The printed report header is N 060254 ZRY and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 070350 PSM,C 070350 PPM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/070350.pdf,action_code_correction,"The printed header, body, resolution, and ZAP record identify C 070350 PPM; the DCP index incorrectly says PSM.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 090429 ZRM,N 090429 ZRM,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/090429.pdf,non_ulurp_prefix_correction,"The printed report header is N 090429 ZRM and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 120123 ZRM,N 120123 ZRM,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/120123.pdf,non_ulurp_prefix_correction,"The printed report header is N 120123 ZRM and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 120296 ZRY,N 120296 ZRY,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/120296.pdf,non_ulurp_prefix_correction,"The printed report header is N 120296 ZRY and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 120310 ZRM,N 120310 ZRM,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/120310.pdf,non_ulurp_prefix_correction,"The printed report header is N 120310 ZRM and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 180388 ZRK,N 180388 ZRK,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/180388.pdf,non_ulurp_prefix_correction,"The printed report header is N 180388 ZRK and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 220330 ZRQ,N 220330 ZRQ,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/220330.pdf,non_ulurp_prefix_correction,"The printed report header is N 220330 ZRQ and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 260040 PCK,C 260040 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/260040.pdf,action_code_correction,"The printed header, body, resolution, and ZAP record identify C 260040 PPK; the DCP index incorrectly says PCK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
N 040500A ZRM,N 040500A ZRM,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/040500a.pdf,related_lead_link_exception,"DCP marks this report as the lead for the Hudson Yards project voted November 22, 2004. Its project label differs from the paired certified C applications only by the index's file-size suffix.",related_project_narrative_lead,1,,codex_gpt5_source_review,2026-07-11
M 800004A HOK,C 800004A HOK,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/800004a.pdf,prefix_correction,"The DCP index labels the record M 800004A HOK, while the printed report header identifies the revised certified application C 800004 HOK(A), states that it proceeded through ULURP, and records CPC approval on May 5, 1980.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
800670 PPK,C 800670 PPK,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/800670.pdf,missing_prefix_correction,"The DCP index omits the prefix. The printed report covers certified applications C 800658-673 PPK, describes ULURP review, and records CPC adoption on December 23, 1980; C 800670 PPK is the corresponding ZAP application.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
N 080157 ZMX,C 080157 ZMX,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/080157.pdf,prefix_correction,"The DCP index incorrectly labels this report N. The printed header and resolution identify certified application C 080157 ZMX, and ZAP and Council records confirm the May 12, 2010 CPC approval.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
N 140077 HAQ,C 140077 HAQ,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/140077.pdf,prefix_correction,"The DCP index incorrectly labels this report N. The printed header and resolution identify certified application C 140077 HAQ, and ZAP and Council records confirm the January 22, 2014 CPC approval.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
