review_id,raw_application_number,official_application_number,source_text_sha256,narrative_sha256,official_cpc_report_inclusion,local_opposition_present,local_request_or_condition_present,precertification_local_initiation_or_change,development_application_changed,commitment_or_mitigation_present,process_or_study_response_present,explicit_local_causal_response,cpc_approved_with_unresolved_local_objection,local_actor_codes,issue_codes,coding_confidence,evidence_summary,coder,coding_date
RC11,C920539PPK,C920539PPK,0ae24d3216d3ad6016cc9e2d26a60502863fd20ea5f0691f653fe863c609b458,0ad20f8e91a6031000b159da7ef5272f36266a04b816552e683bfd09b6edd5a4,included,0,1,0,0,0,1,0,1,community_board;borough_president;resident_or_tenant,tenant_retention;lease_terms,high,The CB and BP approved with protections for existing tenants. DGS rejected sole-source disposition and a right of first refusal under Charter rules; CPC approved while merely requesting further efforts for tenants.,codex_gpt5_full_report_review,2026-07-11
RC12,C950110ZSQ,C950110ZSQ,3351cb228834262f2141aad21dde703c8843b7e7598368c009819618dc8a1ec4,2c4ceb603cc272beb242be34473c94d738ecbe2584a37cf77e277f9692349e35,included,0,1,0,0,1,1,1,0,community_board;resident_or_tenant,fencing;community_space;traffic;litter;historic_facade,high,"CB2 approved with four conditions. CPC reports a church commitment to fencing and an applicant meeting with Landmarks staff, while rejecting or only urging the community-room, traffic, and litter requests.",codex_gpt5_full_report_review,2026-07-11
RC13,C900438MMM,C900438MMM,d1b5f7a2dbe8b9f00855d8c5c755aa3a907f9b9e01aa769b1f91a4e50db4c0b2,f126ec6c8f9b0ee8db9363a33dbfa0fa105080fbb9500142c974f51e0048cf6b,included,1,1,0,0,0,1,unclear,1,community_board;borough_president;civic_or_other_organization;resident_or_tenant;council_member,traffic;bus_routes;park_design,medium,Local actors raised traffic and bus-routing objections and DOT continued studies and consultation. The report does not explicitly state that those procedural steps were caused by a specific local request.,codex_gpt5_full_report_review,2026-07-11
RC14,C970182ZSQ,C970182ZSQ,8326f55cdc0abe88631c3ed3813a1bf8b35c1bb1e56fdc14fbef93283933d6ca,739aa6f372c6f0e963eb6fe84069938a60c2f37fd3a983d7fc9b4e7fa239f761,included,1,1,0,0,1,1,1,0,community_board;borough_president;civic_or_other_organization,traffic;parking;trees;environmental_mitigation,medium,"The CB vote included seven no votes and the BP approved with conditions. Additional traffic analyses were undertaken at the community and BP's request, and CPC imposed tree replacement and mitigation conditions; the related lead report contains fuller testimony.",codex_gpt5_full_report_review,2026-07-11
RC15,C960657PQM,C960657PQM,daea47f130f1669ecf73af55d36888f98ee8edeb12c500ed58b87f6fb8dc0816,479a3872f7bd2ba09459f36136c0c5de9b32592127c4d7541d8ef368d3ab27f3,included,1,1,0,1,0,0,1,0,community_board;borough_president,united_nations_retention;property_disposition,high,"CB6 and the BP disapproved. The report states that, in response to these concerns, the applicants revised the applications to remove UN-occupied office space from the proposed disposition.",codex_gpt5_full_report_review,2026-07-11
U01,C960471ZMQ,C960471ZMQ,717bc0aebea21533bbdb5d0c8acb0ad61ba18858bf518c35caef5e96f35e74aa,b4277f15999f5bd47c430135c46a2d2ccaaaa1727c30a92a1c63356c8e018685,included,0,1,0,0,1,0,1,0,community_board;resident_or_tenant,parking;landscaping;screening,high,"CB13 approved 31-0 after work with the church and neighbors. In response to parking and landscaping comments, the applicant documented leased parking and promised fences and bushes.",codex_gpt5_full_report_review,2026-07-11
U02,C160037HUK,C160035ZMK,20114b73df101a0972cda635b52f92bf59879970083d2d35e05cbad9d9afe868,5aaf50f35e678a8600981d3a158814547cdd77919af8072fc1a18625e9689e12,included_related_action_mapped_to_lead,1,1,1,0,1,0,1,1,community_board;borough_president;civic_or_other_organization;resident_or_tenant;local_elected_official,affordability;displacement;tenant_protection,high,"The East New York lead report records extensive opposition and affordability demands. CPC says these concerns led to the neighborhood plan and anti-displacement resources, but it rejected a requested anti-harassment district and approved the rezoning.",codex_gpt5_full_report_review,2026-07-11
U03,C160035ZMK,C160035ZMK,20114b73df101a0972cda635b52f92bf59879970083d2d35e05cbad9d9afe868,5aaf50f35e678a8600981d3a158814547cdd77919af8072fc1a18625e9689e12,included_lead_report,1,1,1,0,1,0,1,1,community_board;borough_president;civic_or_other_organization;resident_or_tenant;local_elected_official,affordability;displacement;tenant_protection,high,"The lead East New York report documents displacement concerns, permanent-affordability demands, and anti-displacement programs explicitly framed as responses, while rejecting some central community demands and approving the plan.",codex_gpt5_full_report_review,2026-07-11
U04,C810543AZSM,C810543ZSM,9b9944be548c8429c115ea53f6318b071e5f9f96df1e912bb4cea48df67a20dc,2a939a4d4f945f5fd042a7dd87c3f97838c6568c2617e9e7d40cf38a612375d9,included_alias_to_official_base_report,1,1,0,1,0,0,1,0,community_board,building_design;rear_yard,high,"After CB5 objections, and at CPC's request, the applicant amended the design to provide a 30-foot residential rear yard; CB5 then held a second hearing and approved the modified application.",codex_gpt5_full_report_review,2026-07-11
U05,C910480ZSK,C910480ZSK,0779712f9655bfeb1f9db5b882e7d59c9b7bb6a0d3f938a70f10de5feec0d50e,74e3ae00dad0907ef41412ac93ccdec880f5042ae561bec0adceff02cc174211,included,1,1,0,1,1,0,unclear,1,community_board;civic_or_other_organization;resident_or_tenant,building_height;neighborhood_character;sewer_water;open_space;affordable_housing,medium,"The report records 129 opponents and organized objections. After the CPC hearing the applicant removed the tallest tower, reduced height and units, expanded open space, and added lower-income units, but the report does not explicitly attribute those changes to a particular local actor.",codex_gpt5_full_report_review,2026-07-11
U07,C210438AZSM,C210438AZSM,f7a849eefd0ddc7d911012c91e45ba555f9732b7d9aaf1c1e4fdb4eafa60efe3,7ecd54b0a1255b0c0a758e22d0f504cb87ee51685dc11e91a776db7d44d049af,included_lead_report,1,1,0,1,1,0,0,1,community_board;borough_president;civic_or_other_organization;resident_or_tenant;local_elected_official,building_height;historic_character;museum_funding;environment;affordable_housing,high,"CB1 disapproved and the BP imposed detailed conditions. The report attributes the building reduction to Landmarks Commission review, not those local demands; CPC treated museum commitments as outside land-use scope and approved with other affordability and environmental conditions.",codex_gpt5_full_report_review,2026-07-11
