project_id,manual_review_status,manual_rezoning_class,housing_intent,scope_type,capacity_direction,manual_confidence,source_url,source_note,manual_notes
P2013X0135,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"C8-3 to R7D/R7D-C1-4 with MIH to facilitate mixed-use development with 265 dwelling units and convenience retail."
2022M0359,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,no,single_site,up,high,,,"MSK R8 to R9 rezoning and related actions to facilitate a 31-story hospital building within existing MSK campus."
P2016Q0381,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"M1-1 to R7X/C2-4 with MIH to facilitate 11-story mixed-use building with approximately 244 dwelling units, retail, and parking."
P2012Q0519,codex_text_reviewed,mixed_intent,unclear,area_wide,mixed,medium,,,"Ozone Park text says area-wide rezoning from R/C/M districts to lower-density/contextual residential and commercial districts to preserve neighborhood character and guide new development; mixed direction because source text includes both restrictive contextual changes and possible M/C to residential changes."
P1989R0342,codex_text_reviewed,residential_intent_downzoning,yes,area_wide_or_corridor,down,high,,,"Text says C1-1 to R1-1 and C1-2 to preserve residential character and prevent traffic and parking increases."
P1992Q0104,codex_text_reviewed,mixed_intent,yes,area_wide,mixed,medium,,,"Text says 24-block rezoning from R6 and R5 for quality housing contextual zoning R5B R6A and R6B; direction is mixed because old-to-new mapping is not one-to-one in the brief."
P1995M0225,codex_text_reviewed,residential_intent_downzoning,yes,corridor,down,high,,,"Text explicitly says R8 to contextual R7B to preserve neighborhood character by shifting development to major avenues and wide streets."
P2002M0132,codex_text_reviewed,formal_residential_capacity_change_unclear_intent,unclear,area_wide_or_corridor,down,high,,,"Text explicitly says South Street Seaport Historic District C6-4 to more contextual C6-2A."
P2006M0004,codex_text_reviewed,mixed_intent,unclear,area_wide,mixed,medium,,,"Far West Village text lists C1-7 C6-2 C8-4 and M1-5 rezoned to contextual C1-6A C1-7A C4-4A and R6A/C1-5; mixed direction because source text includes both restrictive contextual changes and possible M to residential conversion."
P2006Q0315,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,high,,,"Text says 21 blocks in Middle Village rezoned from R5 to lower-density and contextual R4 R4-1 and R5B districts."
P2007Q0081,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,high,,,"Text says 100 blocks in Queensboro Hill from R2 R3-2 and R4 to lower-density or contextual zones and five Flushing blocks from R4 to lower-density R4-1."
P2007Q0331,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,high,,,"Text says 317 blocks in St Albans and Hollis from R2 R3-2 R4 and R6B to lower-density or contextual zones."
P2007Q0371,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,high,,,"Text says 41 blocks in Forest Hills from R3-2 to contextual zones."
P2008Q0331,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,medium,,,"Text says 44 blocks in north-central Queens from R3-2 R6 and R7-1 to lower- and medium-density contextual zoning districts."
P2009Q0082,codex_text_reviewed,residential_intent_downzoning,yes,area_wide,down,medium,,,"Text says 97 blocks in North Corona from R5 R6 and R6B to lower-density or contextual R5 R5A and R6A."
P2017R0053,codex_text_reviewed,infrastructure_or_resilience,unclear,area_wide,down,high,,,"Text says Special Coastal Risk District around Sandy buyout areas to limit density and preserve natural environments by restricting uses to single-family detached residences."
P2012R0015,codex_text_reviewed,residential_intent_upzoning,yes,single_site_or_area_wide,mixed,medium,,,"Text says zoning map change to R3X from parkland R3-2 and R1-2 with HPD UDAAP and parkland demapping; direction is mixed because parkland/R1-2 to R3X expands capacity while R3-2 to R3X is contextual/restrictive."
2019K0385,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says R5/C2-3 to C4-4L with text amendment to facilitate 106 dwelling units and commercial space."
P2016Q0278,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says split R7A/C2-3 and R6B districts to R7X/C2-3 with Mandatory Inclusionary Housing."
2018K0500,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says C8-2 to R7A/C2-4 with MIH for a Bay Ridge site."
P2011M0151,codex_text_reviewed,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,medium,,,"Text says R7-2 with C1-4 to C4-5X; formal residential-equivalent capacity increases, but project purpose is not stated in the brief."
2019Q0451,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says C8-1 and R4 to R6A plus C2-3 overlay to facilitate an eight-story building with 92 dwelling units."
P1986M0238,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,medium,,,"Text says extension of LMM-A2 C6-3 district boundary to permit residential development of Block 140 Lot 15."
P2003K0254,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says M1-1 manufacturing classification to R6 residential designation with C2-3 commercial overlay."
2020Q0378,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says C4-5X/DJ to C6-3/DJ with MIH to facilitate approximately 173 senior affordable housing units."
P1980K0693,codex_text_reviewed,commercial_or_parking,no,single_site_or_area_wide,no_material_residential_change,high,,,"Text says R6 to C2-3 overlay on R6 to permit accessory parking lot for commercial facility; underlying residential district remains R6."
P2015K0118,codex_text_reviewed,residential_intent_upzoning,yes,single_site,up,high,,,"Text says extend C6-4 over existing C6-1 and map MIH to facilitate enlargement and new 10-story building in Downtown Brooklyn."
