batch,matter_file,likely_location,likely_current_or_historical_council_district,confidence_high_medium_low,official_source_to_check_or_source_url,reasoning_notes,source_links_found_in_cell
3,Res 0484-2004,"433–439 De Witt Avenue, Brooklyn",CD42,high,NYC Council LU 0091-2004 / Res 0484-2004. Legistar NYC Council+1,"The Council LU record explicitly identifies C 040203 HAK as a UDAAP/disposition at 433–439 De Witt Avenue, Brooklyn, Council District 42.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=1D635B34-7F90-4498-A543-CF0AC789EC25&ID=441555&Options=&Search=
3,Res 0490-2004,"58-37 Francis Lewis Boulevard / Francis Lewis Boulevard north of Horace Harding Expressway, Queens",CD23,high,NYC Council LU 0116-2004; DCP CPC calendar for C 020666 ZMQ. Legistar NYC Council+1,"Council LU record lists Council District 23. DCP calendar locates the action as Francis Lewis Boulevard Rezoning in Queens CD11, establishing a C1-2 district within an R2 district near Horace Harding Expressway.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=CE77C2A2-28E3-4ABE-837F-AF3E7E2CA54A&ID=441830&Options=&Search=
3,Res 0499-2004,"87 Seventh Avenue South, West Village, Manhattan",CD3,medium,NYC Council meeting record / LU 0201-2004; DoT revocable-consent file 20045679 TCM should be checked if available. Legistar NYC Council+1,"Council meeting record identifies LU 0201 as “Sidewalk Cafe, 87 7th Avenue South.” A Council-bill mirror lists Council District 3, but I would still verify against the official DoT revocable-consent file or Council district map because the Legistar meeting page itself does not expose the district field.",https://legistar.council.nyc.gov/MeetingDetail.aspx?GUID=EF74544E-0D84-4FCD-A28D-BC24418149D3&ID=73577&Search=&utm_source=chatgpt.com
3,Res 0845-2005,"900 Brush Avenue, also 2560 and 2692 Bruckner Avenue, Bronx; Block 5542, Lots 41, 70, 130, 149, 151","current CD13; historical likely CD13, but verify",medium,NYC Council Res 0845-2005 / Res 0846-2005; DCP CPC calendar for C 000189 ZMX and related C 040123 ZSX. Legistar NYC Council+2Legistar NYC Council+2,"Res 0845 concerns C 000189 ZMX and is the related zoning-map action for the same Related Retail Bruckner/BJ’s site. DCP and Council sources place the site at 900 Brush Avenue / 2560 and 2692 Bruckner Avenue in Bronx Community District 10. Current geography points to Council District 13; because some Council/Legistar text appears to use “CD 10” for community district context, verify historical Council district with the 2003 Council district shapefile.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=8139BE25-04A6-4FAC-931A-FDD0DA060FAF&ID=443708&Options=&Search=&utm_source=chatgpt.com
3,Res 0846-2005,"900 Brush Avenue, also 2560 and 2692 Bruckner Avenue, Bronx; Block 5542, Lots 41, 70, 130, 149, 151","current CD13; historical likely CD13, but verify",medium,NYC Council LU 0378-2005 / Res 0846-2005; DCP CPC calendar for C 040123 ZSX. Legistar NYC Council+2Legistar NYC Council+2,Res 0846 itself identifies the special-permit site as 900 Brush Avenue with Bruckner Avenue AKAs and Block 5542 lots. It is the same geography as Res 0845. Current Council District 13 covers this East Bronx area; historical district should be verified against the 2003 district boundary file before final coding.,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=55B26EA6-129E-4D63-9800-C05C56F320CE&ID=443709&Options=&Search=
4,Res 0881-2005,"311 Henry Street, Brooklyn; Brooklyn Community District 2, likely Cobble Hill / Brooklyn Heights area",CD33,high,NYC Council Res 0881-2005 / LU 0396-2005; check DOT sidewalk café file 20045677 TCK if needed. Legistar NYC Council+1,Legistar confirms the sidewalk café address as 311 Henry Street in Brooklyn Community District 2. A Council-bill record for LU 0396 identifies the matter as Council District 33. Legistar NYC Council+1,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=5E3C6DA4-6E45-46F3-BAD8-C43F2E510D60&ID=443796&Options=&Search=
4,Res 1107-2005,"35-27 30th Avenue, Astoria, Queens",CD22,high,NYC Council LU 0512-2005 / Res 1107-2005; DOT sidewalk café file 20055633 TCQ. Legistar NYC Council+1,"Official Council LU record gives 35-27 30th Avenue, Borough of Queens, Council District 22. Legistar NYC Council",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=553008AD-BB86-4C70-AA6D-9F1E51989D9C&ID=444558&Options=&Search=
4,Res 1108-2005,"50 Gansevoort Street, Meatpacking District / West Village, Manhattan",CD3,high,NYC Council LU 0513-2005 / Res 1108-2005; DOT sidewalk café file 20055545 TCM. Legistar NYC Council+1,"Official Council LU record gives 50 Gansevoort Street, Borough of Manhattan, Council District 3. Legistar NYC Council",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=A25878C2-E4B1-4319-85C2-88230C580BCB&ID=444557&Options=&Search=
4,Res 1109-2005,"237 Columbus Avenue, Upper West Side, Manhattan",CD6,high,NYC Council LU 0514-2005 / Res 1109-2005; DOT sidewalk café file 20055515 TCM. Legistar NYC Council+1,"Official Council LU record gives 237 Columbus Avenue, Borough of Manhattan, Council District 6. Legistar NYC Council",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=BE8A2E26-C79D-4293-AA16-390B106A020C&ID=444564&Options=&Search=
4,Res 1176-2005,"1549 Bruckner Boulevard / Bruckner Boulevard Rezoning, Bronx; bounded by Bruckner Boulevard, Ward Avenue, Boynton Avenue, and a line north of Bruckner Boulevard",CD18,medium,NYC Council Res 1176-2005 / LU 0462-2005; DCP CPC report/calendar for C 020488 ZMX. Legistar NYC Council+2Government Publications Portal+2,"Legistar identifies LU 462 as “1549 Bruckner Blvd., Bronx” and the resolution text gives the zoning-map boundary. A Council-bill record lists Council District 18. I assign CD18 but keep medium confidence because the official Legistar text exposed here does not itself show the district field. Legistar NYC Council+1",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=E38D9446-112D-4AE6-A98C-B9ECBFB3F139&ID=450020&Options=&Search=
5,Res 1191-2005,"46 Gansevoort Street, Meatpacking District / West Village, Manhattan",Historical/current CD3,high,NYC Council Res 1191-2005 / LU 0585-2005; DOT sidewalk café file 20055567 TCM. Legistar NYC Council+1,"Official Council resolution identifies the sidewalk café at 46 Gansevoort Street, Manhattan Community District 2. A later Council land-use record for the same 46 Gansevoort Street location explicitly lists Council District 3, so CD3 is defensible. Legistar NYC Council+1",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=A2082CAC-CA90-4296-93C6-002D4987476B&ID=450021&Options=&Search=&utm_source=chatgpt.com
5,Res 1231-2005,"557 DeKalb Avenue and 223/225 Spencer Street, Block 1763, Lots 1, 2, 62, Brooklyn","Current CD33; historical likely CD33, verify",medium,NYC Council Res 1231-2005 / LU 0605-2005; related Res 1230-2005; DCP C 030276 ZMK / M 030440 ZMK file. Legistar NYC Council+1,"The official/resolution-related sources identify the site as Spencer Street and DeKalb Avenue / 557 DeKalb and 223/225 Spencer. Current property/environmental records for 223 Spencer/Block 1763 indicate Council District 33, but I would verify against the 2003 Council district shapefile before final historical coding. Justia+2Ext Apps DEC NY+2",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=CB9A4815-BA79-475F-8FA1-3473A308A683&ID=450023&Options=&Search=&utm_source=chatgpt.com; https://law.justia.com/cases/new-york/other-courts/2006/2006-52546.html?utm_source=chatgpt.com
5,LU 0341-2006,"717–719, 739, 741 Coster Street and 671 Manida Street, Hunts Point, Bronx",Likely historical/current CD17,medium,NYC Council action detail for LU 0341 / 20075151 HAX; HPD/City Record property notice for same Coster/Manida cluster. Legistar NYC Council+1,"Council action detail gives the Coster/Manida addresses. City Record/HPD notice confirms the same Coster/Manida properties in the Hunts Point area. Nearby and same-block property records place Coster Street properties in Council District 17, but the original LU action detail does not expose the district field, so verify against the 2003 boundary file. MetroDeeds+3Legistar NYC Council+3New York City Government+3",https://legistar.council.nyc.gov/HistoryDetail.aspx?GUID=663B4F13-4E37-4AB9-8EAE-E027A6E11349&ID=2314661&utm_source=chatgpt.com
5,Res 0126-2006,"Knickerbocker Avenue Cluster, multiple Bushwick sites including 187/194 Eldert Street, Wilson Avenue, Cornelia Street, Harman Street, Schaeffer Street, Knickerbocker Avenue, and Halsey Street, Brooklyn",Historical/current CD37,high,NYC Council LU 0044-2006 and Res 0126-2006 / 20065163 HAK. Legistar NYC Council+1,"Council LU 0044 explicitly identifies the project as the Knickerbocker Avenue Cluster in Community Board 4, Council District 37. Res 0126 lists the same disposition-area addresses and says Community District 4, Brooklyn. Legistar NYC Council+1",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=32E9BEBB-AD8E-4E94-BCB4-623A7862B53D&ID=445345&Options=&Search=&utm_source=chatgpt.com
5,Res 0487-2006,"87 Seventh Avenue South, West Village, Manhattan",Historical/current CD3,high,NYC Council Res 0487-2006 / LU 0208-2006; DOT sidewalk café file 20065428 TCM. Legistar NYC Council+1,"Official Council record identifies 87 Seventh Avenue South and the 20065428 TCM sidewalk café matter. The same Council record places the matter in District 3; a related Council call-up record identifies the application at 87 Seventh Avenue South, Community Board 2. Legistar NYC Council+1",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=AFF34A39-70C6-4131-AFC2-C019174707C0&ID=446258&Options=&Search=&utm_source=chatgpt.com
6,Res 0650-2006,"717–719, 739, 741 Coster Street and 671 Manida Street, Hunts Point / Longwood area, Bronx",Likely historical/current CD17,medium,NYC Council action detail for Res 0650-2006; HPD/City Record notice for same Coster/Manida properties. New York City Council+1,"Council action detail confirms the exact addresses and application 20075151 HAX. Later HPD/City Record notice confirms the same Coster/Manida properties. District assignment is defensible as CD17 based on this Hunts Point/CB2 geography, but should be verified against the 2003 Council district shapefile before final coding.",https://legistar.council.nyc.gov/HistoryDetail.aspx?GUID=663B4F13-4E37-4AB9-8EAE-E027A6E11349&ID=2314661&utm_source=chatgpt.com
6,Res 0874-2007,"2735 Frederick Douglass Boulevard, Manhattan; Block 2045/Lot 13; West 146th Condominiums / Central Harlem",Historical CD7,high,NYC Council LU 0375-2007 and Res 0874-2007. New York City Council+1,"Council LU 0375 explicitly lists C 070258 HAM at 2735 Frederick Douglass Boulevard, Borough of Manhattan, Council District no. 7. Res 0874 gives the same address, BBL, Community District 10, and project description.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=BE94E297-20C9-42E7-B6FF-4B6E9B270C58&ID=446709&Options=&Search=&utm_source=chatgpt.com
6,Res 0976-2007,"Former Neponsit Health Center, 149 Rockaway Beach Boulevard / Neponsit, Queens; bounded by Neponsit Beach Boulevard, Jacob Riis Park, Atlantic Ocean, and Neponsit residential area",Likely historical/current CD32,medium,NYC Council Res 0976-2007; verify district with Council district map or 2003 boundary file. New York City Council+1,"Council text identifies the property as approximately 5.6 acres at 149 Rockaway Beach Boulevard in Neponsit, formerly the Neponsit Health Center. Neponsit/Rockaway west-end geography points to CD32, but the cited matter text does not expose a Council district field, so verify before final coding.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=1494F408-C3CB-4259-AD5C-8F6550F6F814&ID=447395&Options=&Search=&utm_source=chatgpt.com
6,LU 0688-2008,"70 Wyckoff Avenue rezoning, Bushwick, Brooklyn; bounded by Wyckoff Avenue, DeKalb Avenue, a line 400 feet northwest of Irving Avenue, and Suydam Street; Block 3221/Lot 31 area",Likely historical/current CD34,medium,NYC Council LU 0688-2008; DCP CPC calendars for C 050192 ZMK. New York City Council+2New York City Government+2,"DCP identifies the project as “70 Wyckoff Avenue Rezoning,” Brooklyn Community District 4, with the mapped boundary. Property-level sources for 70 Wyckoff Avenue list City Council District 34, but this should still be verified against Council district GIS because the Legistar/DCP matter text gives community district, not Council district. StreetEasy",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=70217E1F-CD23-47B1-8D6C-D2D5D9B3A37B&ID=448028&utm_source=chatgpt.com; https://streeteasy.com/building/70-wyckoff-avenue-lofts?utm_source=chatgpt.com
6,Res 1333-2008,"Same as LU 0688-2008: 70 Wyckoff Avenue rezoning, Bushwick, Brooklyn; bounded by Wyckoff Avenue, DeKalb Avenue, line northwest of Irving Avenue, and Suydam Street",Likely historical/current CD34,medium,NYC Council Res 1333-2008 / LU 0688-2008; DCP CPC calendar for C 050192 ZMK. New York City Council+1,"Res 1333 is the companion withdrawal resolution for LU 0688 / C 050192 ZMK. Same geography as the 70 Wyckoff Avenue rezoning. Assign same provisional CD34, with final verification against the historical Council district boundary file.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=ED90E83D-D684-43F6-BC54-A6F2A6D3D0AA&ID=448156&Options=&Search=&utm_source=chatgpt.com
7,Res 1654-2008,"29-02A Francis Lewis Boulevard, Queens",Historical/current CD19,high,NYC Council LU 0893-2008 / 20085712 TCQ. New York City Council,"Council LU record explicitly identifies the sidewalk café at 29-02A Francis Lewis Boulevard, Queens, Council District no. 19.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=4A8FA497-ACE4-4C13-BB63-6A5F5BBF1A71&ID=448745&Options=&Search=&utm_source=chatgpt.com
7,Res 1675-2008,"29-02A Francis Lewis Boulevard, Queens",Historical/current CD19,high,NYC Council LU 0911-2008 / 20095159 TCQ. New York City Council,Same address and applicant as Res 1654-2008. Council LU record explicitly lists Council District no. 19.,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=88D6018F-F4E3-49AC-805D-EDE0C3CAC9DF&ID=452230&Options=&Search=&utm_source=chatgpt.com
7,LU 1256-2009,"Kingsbridge Armory area, Bronx; Reservoir Avenue / West Kingsbridge Road / Barnhill Triangle map action",Current CD14; historical likely CD14,medium,DCP CPC report C 090236 MMX; NYC Council Res 2297-2009 related-actions text. a860-gpp.nyc.gov+1,"C 090236 MMX is one of the Kingsbridge Armory related actions. It concerns the elimination/closing of a portion of Reservoir Avenue and West Kingsbridge Road and mapping Barnhill Triangle as parkland. The Armory site is in Bronx Community District 7; current Council records for the same Armory site identify Council District 14, but historical district should be verified with the 2003 Council district shapefile.",https://a860-gpp.nyc.gov/downloads/736665530?locale=en&utm_source=chatgpt.com
7,LU 1257-2009,"Kingsbridge Armory area, Bronx; West 195th Street between Reservoir Avenue and Jerome Avenue",Current CD14; historical likely CD14,medium,NYC Council LU 1257-2009; DCP CPC report C 090237 MMX. New York City Council+1,C 090237 MMX is the companion Kingsbridge Armory city-map action involving the elimination/closing of part of West 195th Street between Reservoir Avenue and Jerome Avenue. Same Armory geography as LU 1256 and LU 1258. Verify historical Council district with GIS before final coding.,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=943DF33F-400A-4A73-9A20-CB143DFA7827&ID=535116&Options=&Search=&utm_source=chatgpt.com
7,LU 1258-2009,"Kingsbridge Armory, Kingsbridge Heights, Bronx; property bounded by West 195th Street, Jerome Avenue, West Kingsbridge Road, and Reservoir Avenue",Current CD14; historical likely CD14,medium,NYC Council Res 2297-2009 / C 090437 ZMX; DCP CPC calendar/report for C 090437 ZMX. New York City Council+1,"The title itself gives the zoning-map boundary. Council/DCP sources identify the project as Kingsbridge Armory in Bronx Community District 7. Current official Council records for the same Armory property list Council District 14, but verify historical 2009 district assignment against the 2003 Council boundary file.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=BDCC195D-82A8-42BA-9335-FE67034DDBEC&ID=558012&Options=&Search=&utm_source=chatgpt.com
8,Res 2276-2009,"98 Kenmare Street, Nolita / Little Italy area, Manhattan",Historical/current CD1,high,NYC Council LU 1252-2009 / Res 2276-2009. New York City Council,"Council LU record identifies the sidewalk café at 98 Kenmare Street, Borough of Manhattan, Council District no. 1.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=79595DB4-1944-4BB1-AC68-68872B874D21&ID=535118&Options=&Search=&utm_source=chatgpt.com
8,Res 2295-2009,"Kingsbridge Armory related city-map action; Reservoir Avenue at West Kingsbridge Road and Barnhill Square, Bronx",Current CD14; historical likely CD14,medium,NYC Council Res 2295-2009 / C 090236 MMX. New York City Council,"Council resolution identifies the action as eliminating/closing part of Reservoir Avenue at West Kingsbridge Road and establishing Barnhill Square in Bronx Community District 7. This is part of the Kingsbridge Armory action package. Later official Council records place the Armory site at 29 West Kingsbridge Road in CD14, but historical 2009 district should be verified with the 2003 Council district shapefile. New York City Council",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=E7901598-0CDF-42EC-AE63-05F295D25353&ID=558010&Options=&Search=&utm_source=chatgpt.com; https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=98333FCF-596B-434A-8460-736E8A6568DE&ID=1518975&Options=&Search=&utm_source=chatgpt.com
8,Res 2296-2009,"Kingsbridge Armory related city-map action; portion of West 195th Street between Reservoir Avenue and Jerome Avenue, Bronx",Current CD14; historical likely CD14,medium,NYC Council Res 2296-2009 / C 090237 MMX. New York City Council,"Council resolution identifies the action as eliminating/closing part of West 195th Street between Reservoir Avenue and Jerome Avenue in Bronx Community District 7. Same Kingsbridge Armory geography; later Council records place the Armory site in CD14, but verify 2009 historical district with GIS. New York City Council",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=065D177C-6670-4053-94E0-A4413123885A&ID=558011&Options=&Search=&utm_source=chatgpt.com; https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=98333FCF-596B-434A-8460-736E8A6568DE&ID=1518975&Options=&Search=&utm_source=chatgpt.com
8,Res 2297-2009,"Kingsbridge Armory, Kingsbridge Heights, Bronx; bounded by West 195th Street, Jerome Avenue, West Kingsbridge Road, and Reservoir Avenue",Current CD14; historical likely CD14,medium,NYC Council Res 2297-2009 / C 090437 ZMX. New York City Council,Council resolution identifies the zoning-map action as facilitating redevelopment of the Kingsbridge Armory in Bronx Community District 7. Later official Council records identify 29 West Kingsbridge Road / Kingsbridge Armory as Council District 14; final historical coding should still check 2003 district boundaries. New York City Council,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=BDCC195D-82A8-42BA-9335-FE67034DDBEC&ID=558012&Options=&Search=&utm_source=chatgpt.com; https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=98333FCF-596B-434A-8460-736E8A6568DE&ID=1518975&Options=&Search=&utm_source=chatgpt.com
8,Res 0517-2010,"490–494 LaGuardia Place, Greenwich Village / NYU area, Manhattan",Historical/current CD1,high,NYC Council LU 0237-2010 / Res 0517-2010. New York City Council+1,"Council agenda text identifies the enclosed sidewalk café at 490–494 LaGuardia Place, Borough of Manhattan, Council District no. 1.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=A80B2D1B-1929-42AE-B900-0F8CC6787CFA&ID=777894&Options=&Search=&utm_source=chatgpt.com
