query_year,matter_id,matter_file,disposition_group,review_difficulty,application_keys,title_bbls,title_address_candidate,title,chatgpt_plain_text_prompt
2004,442574,Res 0490-2004,filed_withdrawal_or_motion,document_lookup_review,020666ZMQ,,,Resolution approving a motion to file pursuant to withdrawal of an application submitted by Lawrence Avroch (ULURP No. C 020666 ZMQ; L.U. No. 116).,"Matter: Res 0490-2004 (2004)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 020666ZMQ
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of an application submitted by Lawrence Avroch (ULURP No. C 020666 ZMQ; L.U. No. 116).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2004,442578,Res 0499-2004,filed_withdrawal_or_motion,medium_address_or_range_review,20045679TCM,,87 7th Avenue South,"Resolution approving a motion to file pursuant to withdrawal of the petition for a modification of a revocable consent for an unenclosed sidewalk café located at 87 7th Avenue South, Manhattan (20045679 TCM; L.U. No. 201).","Matter: Res 0499-2004 (2004)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20045679TCM
Parsed title BBLs: none parsed
Parsed title address: 87 7th Avenue South
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a modification of a revocable consent for an unenclosed sidewalk café located at 87 7th Avenue South, Manhattan (20045679 TCM; L.U. No. 201).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,443708,Res 0845-2005,filed_by_council_other,document_lookup_review,000189ZMX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 000189 ZMX, a Zoning Map change (L.U. No. 377).","Matter: Res 0845-2005 (2005)
Disposition: filed_by_council_other / Filed by Council
Application keys: 000189ZMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 000189 ZMX, a Zoning Map change (L.U. No. 377).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,443709,Res 0846-2005,filed_by_council_other,document_lookup_review,040123ZSX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 040123 ZSX (L.U. No. 378), grant of a special permit pursuant to Section 74-922 of the Zoning Resolution to allow a large retail establishment with no limitation on floor area in an M1-1 District.","Matter: Res 0846-2005 (2005)
Disposition: filed_by_council_other / Filed by Council
Application keys: 040123ZSX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 040123 ZSX (L.U. No. 378), grant of a special permit pursuant to Section 74-922 of the Zoning Resolution to allow a large retail establishment with no limitation on floor area in an M1-1 District.
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,443796,Res 0881-2005,filed_withdrawal_or_motion,medium_address_or_range_review,20045677TCK,,311 Henry Street,"Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 311 Henry Street, Brooklyn (20045677 TCK; L.U. No. 396).","Matter: Res 0881-2005 (2005)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20045677TCK
Parsed title BBLs: none parsed
Parsed title address: 311 Henry Street
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 311 Henry Street, Brooklyn (20045677 TCK; L.U. No. 396).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,444694,Res 1107-2005,filed_withdrawal_or_motion,medium_address_or_range_review,20055633TCQ,,35-27 30th Avenue,"Resolution approving the motion to file pursuant to withdrawal of the petition for the proposed modification of a revocable consent for an unenclosed sidewalk café located at 35-27 30th Avenue, Queens (20055633 TCQ; L.U. No. 512).","Matter: Res 1107-2005 (2005)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20055633TCQ
Parsed title BBLs: none parsed
Parsed title address: 35-27 30th Avenue
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for the proposed modification of a revocable consent for an unenclosed sidewalk café located at 35-27 30th Avenue, Queens (20055633 TCQ; L.U. No. 512).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,444695,Res 1108-2005,filed_withdrawal_or_motion,medium_address_or_range_review,20055545TCM,,50 Gansevoort Street,"Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 50 Gansevoort Street, Manhattan (20055545 TCM; L.U. No. 513).","Matter: Res 1108-2005 (2005)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20055545TCM
Parsed title BBLs: none parsed
Parsed title address: 50 Gansevoort Street
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 50 Gansevoort Street, Manhattan (20055545 TCM; L.U. No. 513).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,444698,Res 1109-2005,filed_withdrawal_or_motion,medium_address_or_range_review,20055515TCM,,237 Columbus Avenue,"Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 237 Columbus Avenue, Manhattan (20055515 TCM; L.U. No. 514).","Matter: Res 1109-2005 (2005)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20055515TCM
Parsed title BBLs: none parsed
Parsed title address: 237 Columbus Avenue
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 237 Columbus Avenue, Manhattan (20055515 TCM; L.U. No. 514).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,450020,Res 1176-2005,disapproved,document_lookup_review,020488ZMX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 020488 ZMX, a Zoning Map change (L.U. No. 462).","Matter: Res 1176-2005 (2005)
Disposition: disapproved / Disapproved by Council
Application keys: 020488ZMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 020488 ZMX, a Zoning Map change (L.U. No. 462).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,450021,Res 1191-2005,disapproved,medium_address_or_range_review,20055567TCM,,46 Gansevoort Street,"Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 46 Gansevoort Street, Manhattan (20055567 TCM; L.U. No. 585).","Matter: Res 1191-2005 (2005)
Disposition: disapproved / Disapproved by Council
Application keys: 20055567TCM
Parsed title BBLs: none parsed
Parsed title address: 46 Gansevoort Street
Full title: Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 46 Gansevoort Street, Manhattan (20055567 TCM; L.U. No. 585).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2005,450023,Res 1231-2005,disapproved,document_lookup_review,030276ZMK,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 030276 ZMK, a Zoning Map change (L.U. No. 605).","Matter: Res 1231-2005 (2005)
Disposition: disapproved / Disapproved by Council
Application keys: 030276ZMK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 030276 ZMK, a Zoning Map change (L.U. No. 605).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2006,446561,LU 0341-2006,filed_by_council_other,document_lookup_review,20075151HAX,,,"Application no. 20075151 HAX, a request for Council consent and approval, pursuant to Article 5 of the Private Housing Finance Law, for a conveyance, termination of a partial tax exemption and a voluntary dissolution at the request of the New York City Department of Housing Preservation and Development.","Matter: LU 0341-2006 (2006)
Disposition: filed_by_council_other / Filed by Council
Application keys: 20075151HAX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Application no. 20075151 HAX, a request for Council consent and approval, pursuant to Article 5 of the Private Housing Finance Law, for a conveyance, termination of a partial tax exemption and a voluntary dissolution at the request of the New York City Department of Housing Preservation and Development.
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2006,445490,Res 0126-2006,filed_withdrawal_or_motion,medium_address_or_range_review,,,187 Eldert Street,"Resolution approving a motion to file pursuant to withdrawal of an Urban Development Action Area Project located at 187 Eldert Street (Block 3411/Lot 55), 194 Eldert Street (Block 3417/Lot 10), 202 Wislon Avenue (Block 3256/Lot 26), 248 Cornelia Street (Block 3384/Lot 12), 302 Harman Street (Block 3289/Lot 14), 309 Schaeffer Street (Block 3425/Lot 62), 565 Wilson Avenue (Block 3412/Lot 2), 572 Wilson Avenue a.k. a. 209 Covert Street (Block 3417/Lot 32), 588 Wilson Avenue (Block 3423/Lot 43), 708 Knickerbocker Avenue (Block 3384/Lot 35), 784 Knickerbocker Avenue a.k.a. 1254-64 Halsey Street (Bl","Matter: Res 0126-2006 (2006)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: none parsed
Parsed title BBLs: none parsed
Parsed title address: 187 Eldert Street
Full title: Resolution approving a motion to file pursuant to withdrawal of an Urban Development Action Area Project located at 187 Eldert Street (Block 3411/Lot 55), 194 Eldert Street (Block 3417/Lot 10), 202 Wislon Avenue (Block 3256/Lot 26), 248 Cornelia Street (Block 3384/Lot 12), 302 Harman Street (Block 3289/Lot 14), 309 Schaeffer Street (Block 3425/Lot 62), 565 Wilson Avenue (Block 3412/Lot 2), 572 Wilson Avenue a.k. a. 209 Covert Street (Block 3417/Lot 32), 588 Wilson Avenue (Block 3423/Lot 43), 708 Knickerbocker Avenue (Block 3384/Lot 35), 784 Knickerbocker Avenue a.k.a. 1254-64 Halsey Street (Bl
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2006,446258,Res 0487-2006,filed_withdrawal_or_motion,medium_address_or_range_review,20065428TCM,,87 Seventh Avenue South,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 87 Seventh Avenue South, Manhattan (20065428 TCM; L.U. No. 208).","Matter: Res 0487-2006 (2006)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20065428TCM
Parsed title BBLs: none parsed
Parsed title address: 87 Seventh Avenue South
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 87 Seventh Avenue South, Manhattan (20065428 TCM; L.U. No. 208).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2006,446589,Res 0650-2006,filed_withdrawal_or_motion,document_lookup_review,20075151HAX,,,"Resolution approving a motion to file the conveyance of property and a project located at 717-719, 739, 741 Coster Street and 671 Manida Street, the Bronx (L.U. No. 341; 20075151 HAX).","Matter: Res 0650-2006 (2006)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20075151HAX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file the conveyance of property and a project located at 717-719, 739, 741 Coster Street and 671 Manida Street, the Bronx (L.U. No. 341; 20075151 HAX).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2007,447149,Res 0874-2007,filed_withdrawal_or_motion,medium_address_or_range_review,070258HAM,,2735 Frederick Douglass Boulevard,"Resolution approving a motion to file pursuant to withdrawal respecting the decision of the City Planning Commission on an application submitted by the Department of Housing Preservation and Development, ULURP No. C 070258 HAM, approving the designation of property located at 2735 Frederick Douglass Boulevard (Block 2045; Lot 13), Manhattan, as an Urban Development Action Area, approving the project for the area as an Urban Development Action Area Project, and approving the disposition of such property to a developer selected by the Department of Housing Preservation and Development (L.U. No.","Matter: Res 0874-2007 (2007)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 070258HAM
Parsed title BBLs: none parsed
Parsed title address: 2735 Frederick Douglass Boulevard
Full title: Resolution approving a motion to file pursuant to withdrawal respecting the decision of the City Planning Commission on an application submitted by the Department of Housing Preservation and Development, ULURP No. C 070258 HAM, approving the designation of property located at 2735 Frederick Douglass Boulevard (Block 2045; Lot 13), Manhattan, as an Urban Development Action Area, approving the project for the area as an Urban Development Action Area Project, and approving the disposition of such property to a developer selected by the Department of Housing Preservation and Development (L.U. No.
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2007,447395,Res 0976-2007,filed_withdrawal_or_motion,medium_address_or_range_review,20075390HHQ,,149 Rockaway Beach Boulevard,"Resolution approving a motion to file pursuant to the withdrawal of the surrender of real property located at 149 Rockaway Beach Boulevard, Queens (20075390 HHQ; Preconsidered L.U. No. 486).","Matter: Res 0976-2007 (2007)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20075390HHQ
Parsed title BBLs: none parsed
Parsed title address: 149 Rockaway Beach Boulevard
Full title: Resolution approving a motion to file pursuant to the withdrawal of the surrender of real property located at 149 Rockaway Beach Boulevard, Queens (20075390 HHQ; Preconsidered L.U. No. 486).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2008,448800,Res 1654-2008,filed_withdrawal_or_motion,medium_address_or_range_review,20085712TCQ,,29-02A Francis Lewis Boulevard,"Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 29-02A Francis Lewis Boulevard, Borough of Queens (20085712 TCQ; L.U. No. 893).","Matter: Res 1654-2008 (2008)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20085712TCQ
Parsed title BBLs: none parsed
Parsed title address: 29-02A Francis Lewis Boulevard
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 29-02A Francis Lewis Boulevard, Borough of Queens (20085712 TCQ; L.U. No. 893).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2008,452235,Res 1675-2008,disapproved,medium_address_or_range_review,20095159TCQ,,29-02A Francis Lewis Boulevard,"Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 29-02A Francis Lewis Boulevard, Borough of Queens (20095159 TCQ; L.U. No. 911).","Matter: Res 1675-2008 (2008)
Disposition: disapproved / Disapproved by Council
Application keys: 20095159TCQ
Parsed title BBLs: none parsed
Parsed title address: 29-02A Francis Lewis Boulevard
Full title: Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 29-02A Francis Lewis Boulevard, Borough of Queens (20095159 TCQ; L.U. No. 911).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,535123,LU 1256-2009,disapproved,document_lookup_review,090236MMX,,,"Application no. C 090236 MMX submitted by the Economic Development Corporation and Related Retail Armory, LLC pursuant to Sections 197-c and 199 of the New York City Charter, and Section 5-430 et seq. of the New York City Administrative Code, for an amendment to the City Map. This application is subject to review and action by the Land Use Committee only if appealed to the Council pursuant to §197-d (b)(2) of the Charter or called up by vote of the Council pursuant to §197-d (b)(3) of the Charter.","Matter: LU 1256-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090236MMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Application no. C 090236 MMX submitted by the Economic Development Corporation and Related Retail Armory, LLC pursuant to Sections 197-c and 199 of the New York City Charter, and Section 5-430 et seq. of the New York City Administrative Code, for an amendment to the City Map. This application is subject to review and action by the Land Use Committee only if appealed to the Council pursuant to §197-d (b)(2) of the Charter or called up by vote of the Council pursuant to §197-d (b)(3) of the Charter.
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,535116,LU 1257-2009,disapproved,document_lookup_review,090237MMX,,,"Application no. C 090237 MMX submitted by the Economic Development Corporation pursuant to Sections 197-c and 199 of the New York City Charter, and Section 5-430 et seq. of the New York City Administrative Code, for an amendment to the City Map. This application is subject to review and action by the Land Use Committee only if appealed to the Council pursuant to §197-d (b)(2) of the Charter or called up by vote of the Council pursuant to §197-d (b)(3) of the Charter","Matter: LU 1257-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090237MMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Application no. C 090237 MMX submitted by the Economic Development Corporation pursuant to Sections 197-c and 199 of the New York City Charter, and Section 5-430 et seq. of the New York City Administrative Code, for an amendment to the City Map. This application is subject to review and action by the Land Use Committee only if appealed to the Council pursuant to §197-d (b)(2) of the Charter or called up by vote of the Council pursuant to §197-d (b)(3) of the Charter
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,535125,LU 1258-2009,disapproved,document_lookup_review,090437ZMX,,,"Application no. C 090437 ZMX submitted by Related Retail Armory, LLC and the Economic Development Corporation pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 3c: changing from an R6 District to a C4-4 District property bounded by West 195th Street*, Jerome Avenue, West Kingsbridge Road, and Reservoir Avenue.","Matter: LU 1258-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090437ZMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Application no. C 090437 ZMX submitted by Related Retail Armory, LLC and the Economic Development Corporation pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 3c: changing from an R6 District to a C4-4 District property bounded by West 195th Street*, Jerome Avenue, West Kingsbridge Road, and Reservoir Avenue.
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,548437,Res 2276-2009,filed_withdrawal_or_motion,medium_address_or_range_review,20105053TCM,,98 Kenmare Street,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 98 Kenmare Street, Borough of Manhattan (20105053 TCM; L.U. No. 1252).","Matter: Res 2276-2009 (2009)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20105053TCM
Parsed title BBLs: none parsed
Parsed title address: 98 Kenmare Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 98 Kenmare Street, Borough of Manhattan (20105053 TCM; L.U. No. 1252).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
